'{'{33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,18,33,33,33,33,18,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,18,16,33,33,33,18,25,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,18,25,33,33,33,25,18,33,33,18,30,20,20,20,20,20,33,33,20,28,33,28,20,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,25,25,33,33,33,25,18,33,33,2,18,27,27,27,27,27,33,31,28,28,31,31,27,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2,31,33,25,18,20,19,2,2,2,2,2,2,18,2,30,33,31,2,2,2,33,33,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,31,31,31,25,31,31,28,25,2,30,30,2,2,2,25,31,18,2,2,2,31,18,2,10,32,31,31,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,33,33,33,18,2,2,30,33,28,20,30,2,2,2,2,2,2,31,33,25,2,2,2,2,2,2,31,33,18,18,33,33,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,18,25,30,27,27,27,27,33,31,22,2,2,2,2,2,18,33,28,20,33,33,33,31,2,2,2,18,18,33,33,18,31,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,31,2,2,0,19,20,20,20,33,31,2,2,2,2,2,2,10,33,28,20,33,33,33,33,2,2,2,2,2,33,33,18,25,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,33,2,27,20,33,33,33,33,18,2,2,31,33,33,33,2,2,18,31,33,25,2,2,30,33,31,2,2,2,2,2,2,25,33,33,33,33,33,33},
'{33,33,33,33,33,33,33,31,22,27,27,33,33,33,33,2,18,25,31,33,33,33,18,18,2,31,33,30,30,22,25,33,16,25,18,2,2,2,18,31,33,33,33,33,33,33},
