'{'{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,33,10,8,8,8,8,10,33,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,33,8,8,8,30,32,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,30,32,8,8,8,32,30,8,8,30,27,28,28,28,28,28,8,8,28,8,8,8,28,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,32,32,8,8,8,32,30,8,8,30,19,24,24,24,24,27,8,8,8,8,8,33,27,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,33,8,32,30,28,27,19,12,12,30,30,22,30,19,32,33,1,12,12,19,8,8,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,8,33,33,32,33,8,8,1,12,30,24,30,30,30,13,1,19,30,30,22,1,19,12,10,33,33,33,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,8,8,8,10,12,12,30,33,33,27,10,12,12,12,30,30,30,1,33,13,30,30,30,30,30,12,33,33,19,30,8,8,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,10,1,32,27,24,24,32,33,33,30,30,30,30,30,12,19,33,33,27,33,33,33,1,30,30,30,19,19,33,8,10,33,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,19,12,15,24,27,27,27,33,1,12,30,30,30,30,12,10,33,33,27,33,33,33,33,30,30,30,30,22,33,33,19,32,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,8,19,24,27,33,33,33,33,19,30,30,33,33,33,33,22,30,19,1,33,20,12,30,30,33,1,22,30,30,12,12,30,32,8,8,8,8,8,8},
'{8,8,8,8,8,8,8,33,10,24,32,33,33,33,33,30,19,13,1,33,33,33,19,19,30,1,33,30,30,30,20,33,1,20,19,30,12,30,10,33,8,8,8,8,8,8},
